=== Final GESTURE Training with Maximum Regularization ===
Job started: Wed Jul 16 11:23:16 PM EDT 2025
Node: qa-a10-034.crc.nd.edu
Job ID: 1898816
Loading python/3.12.11
  Loading requirement: tcl/8.6.12
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
✅ Final training environment ready!
=== Starting Final Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
=== Final GESTURE Dataset Training with Maximum Regularization ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 68451 samples from 177 seizures
Class distribution: GTCS=36413, FOS=32038
Dataset created: 7862 samples from 35 seizures
Class distribution: GTCS=4065, FOS=3797
Class weights: tensor([1.0683, 0.9399], device='cuda:0')
Model parameters: 58,371
------------------------------------------------------------
  Batch 4260/8556, Loss: 0.3937
  Batch 4280/8556, Loss: 0.5424
  Batch 4300/8556, Loss: 0.3425
  Batch 4320/8556, Loss: 1.0538
  Batch 4340/8556, Loss: 1.1382
  Batch 4360/8556, Loss: 0.6054
  Batch 4380/8556, Loss: 0.7637
  Batch 4400/8556, Loss: 0.5350
  Batch 4420/8556, Loss: 0.7800
  Batch 4440/8556, Loss: 0.5684
  Batch 4460/8556, Loss: 0.9172
  Batch 4480/8556, Loss: 0.7283
  Batch 4500/8556, Loss: 0.3059
  Batch 4520/8556, Loss: 0.2753
  Batch 4540/8556, Loss: 0.3508
  Batch 4560/8556, Loss: 1.1185
  Batch 4580/8556, Loss: 0.5532
  Batch 4600/8556, Loss: 0.5781
  Batch 4620/8556, Loss: 0.3392
  Batch 4640/8556, Loss: 1.1006
  Batch 4660/8556, Loss: 0.7679
  Batch 4680/8556, Loss: 0.5712
  Batch 4700/8556, Loss: 0.7699
  Batch 4720/8556, Loss: 0.3492
  Batch 4740/8556, Loss: 0.6709
  Batch 4760/8556, Loss: 0.1858
  Batch 4780/8556, Loss: 0.4296
  Batch 4800/8556, Loss: 0.3830
  Batch 4820/8556, Loss: 0.2355
  Batch 4840/8556, Loss: 0.4591
  Batch 4860/8556, Loss: 0.8286
  Batch 4880/8556, Loss: 0.2714
  Batch 4900/8556, Loss: 0.4126
  Batch 4920/8556, Loss: 0.0780
  Batch 4940/8556, Loss: 0.5298
  Batch 4960/8556, Loss: 0.5764
  Batch 4980/8556, Loss: 0.4392
  Batch 5000/8556, Loss: 0.4191
  Batch 5020/8556, Loss: 0.1549
  Batch 5040/8556, Loss: 0.5682
  Batch 5060/8556, Loss: 0.7164
  Batch 5080/8556, Loss: 0.4061
  Batch 5100/8556, Loss: 0.6091
  Batch 5120/8556, Loss: 0.3284
  Batch 5140/8556, Loss: 0.5425
  Batch 5160/8556, Loss: 0.5908
  Batch 5180/8556, Loss: 0.6350
  Batch 5200/8556, Loss: 0.7755
  Batch 5220/8556, Loss: 0.5493
  Batch 5240/8556, Loss: 0.5797
  Batch 5260/8556, Loss: 0.4265
  Batch 5280/8556, Loss: 0.3478
  Batch 5300/8556, Loss: 0.2792
  Batch 5320/8556, Loss: 0.1849
  Batch 5340/8556, Loss: 0.9816
  Batch 5360/8556, Loss: 0.1704
  Batch 5380/8556, Loss: 0.3024
  Batch 5400/8556, Loss: 1.2816
  Batch 5420/8556, Loss: 0.4246
  Batch 5440/8556, Loss: 0.3731
  Batch 5460/8556, Loss: 0.6191
  Batch 5480/8556, Loss: 0.5995
  Batch 5500/8556, Loss: 0.5338
  Batch 5520/8556, Loss: 0.3687
  Batch 5540/8556, Loss: 0.6531
  Batch 5560/8556, Loss: 0.7216
  Batch 5580/8556, Loss: 0.5042
  Batch 5600/8556, Loss: 0.5115
  Batch 5620/8556, Loss: 1.5580
  Batch 5640/8556, Loss: 0.1098
  Batch 5660/8556, Loss: 0.2877
  Batch 5680/8556, Loss: 0.3703
  Batch 5700/8556, Loss: 0.8333
  Batch 5720/8556, Loss: 0.4619
  Batch 5740/8556, Loss: 0.5444
  Batch 5760/8556, Loss: 0.5006
  Batch 5780/8556, Loss: 0.2947
  Batch 5800/8556, Loss: 0.5404
  Batch 5820/8556, Loss: 0.5902
  Batch 5840/8556, Loss: 0.1645
  Batch 5860/8556, Loss: 0.8358
  Batch 5880/8556, Loss: 0.2286
  Batch 5900/8556, Loss: 0.0712
  Batch 5920/8556, Loss: 1.2603
  Batch 5940/8556, Loss: 0.7468
  Batch 5960/8556, Loss: 0.2800
  Batch 5980/8556, Loss: 0.2207
  Batch 6000/8556, Loss: 0.4906
  Batch 6020/8556, Loss: 0.9820
  Batch 6040/8556, Loss: 0.5183
  Batch 6060/8556, Loss: 0.9620
  Batch 6080/8556, Loss: 1.3912
  Batch 6100/8556, Loss: 0.3950
  Batch 6120/8556, Loss: 0.1504
  Batch 6140/8556, Loss: 0.5842
  Batch 6160/8556, Loss: 0.2227
  Batch 6180/8556, Loss: 0.9769
  Batch 6200/8556, Loss: 0.6605
  Batch 6220/8556, Loss: 0.1208
  Batch 6240/8556, Loss: 0.1691
  Batch 6260/8556, Loss: 0.1627
  Batch 6280/8556, Loss: 0.4637
  Batch 6300/8556, Loss: 0.2077
  Batch 6320/8556, Loss: 0.2634
  Batch 6340/8556, Loss: 0.2896
  Batch 6360/8556, Loss: 0.5036
  Batch 6380/8556, Loss: 0.7899
  Batch 6400/8556, Loss: 0.4905
  Batch 6420/8556, Loss: 0.0829
  Batch 6440/8556, Loss: 0.5600
  Batch 6460/8556, Loss: 0.2550
  Batch 6480/8556, Loss: 0.4139
  Batch 6500/8556, Loss: 0.2125
  Batch 6520/8556, Loss: 0.6765
  Batch 6540/8556, Loss: 0.3477
  Batch 6560/8556, Loss: 0.5363
  Batch 6580/8556, Loss: 0.1580
  Batch 6600/8556, Loss: 0.9847
  Batch 6620/8556, Loss: 1.1085
  Batch 6640/8556, Loss: 0.3329
  Batch 6660/8556, Loss: 0.7657
  Batch 6680/8556, Loss: 0.2169
  Batch 6700/8556, Loss: 0.7792
  Batch 6720/8556, Loss: 0.3878
  Batch 6740/8556, Loss: 0.9537
  Batch 6760/8556, Loss: 0.3904
  Batch 6780/8556, Loss: 0.5223
  Batch 6800/8556, Loss: 0.5123
  Batch 6820/8556, Loss: 0.1406
  Batch 6840/8556, Loss: 0.2540
  Batch 6860/8556, Loss: 0.5776
  Batch 6880/8556, Loss: 0.3328
  Batch 6900/8556, Loss: 0.5273
  Batch 6920/8556, Loss: 0.5561
  Batch 6940/8556, Loss: 0.4083
  Batch 6960/8556, Loss: 0.0831
  Batch 6980/8556, Loss: 0.5917
  Batch 7000/8556, Loss: 0.2233
  Batch 7020/8556, Loss: 0.5713
  Batch 7040/8556, Loss: 1.1423
  Batch 7060/8556, Loss: 0.2883
  Batch 7080/8556, Loss: 0.3639
  Batch 7100/8556, Loss: 0.2916
  Batch 7120/8556, Loss: 0.7536
  Batch 7140/8556, Loss: 0.7154
  Batch 7160/8556, Loss: 0.6557
  Batch 7180/8556, Loss: 0.2269
  Batch 7200/8556, Loss: 0.6215
  Batch 7220/8556, Loss: 0.5729
  Batch 7240/8556, Loss: 0.2044
  Batch 7260/8556, Loss: 0.6091
  Batch 7280/8556, Loss: 0.2548
  Batch 7300/8556, Loss: 0.4283
  Batch 7320/8556, Loss: 0.9307
  Batch 7340/8556, Loss: 0.6169
  Batch 7360/8556, Loss: 0.7861
  Batch 7380/8556, Loss: 0.3712
  Batch 7400/8556, Loss: 0.6943
